epoch121, t_loss: 0.010612, v_loss: 0.027533, best_epoch 52: 0.021176
epoch122, t_loss: 0.010640, v_loss: 0.030156, best_epoch 52: 0.021176
epoch123, t_loss: 0.010666, v_loss: 0.042873, best_epoch 52: 0.021176
epoch124, t_loss: 0.010603, v_loss: 0.023549, best_epoch 52: 0.021176
epoch125, t_loss: 0.010562, v_loss: 0.026359, best_epoch 52: 0.021176
epoch126, t_loss: 0.010579, v_loss: 0.022308, best_epoch 52: 0.021176
epoch127, t_loss: 0.010548, v_loss: 0.024970, best_epoch 52: 0.021176
epoch128, t_loss: 0.010505, v_loss: 0.022921, best_epoch 52: 0.021176
epoch129, t_loss: 0.010542, v_loss: 0.023533, best_epoch 52: 0.021176
epoch130, t_loss: 0.010456, v_loss: 0.065015, best_epoch 52: 0.021176
epoch131, t_loss: 0.010447, v_loss: 0.022969, best_epoch 52: 0.021176
epoch132, t_loss: 0.010454, v_loss: 0.027935, best_epoch 52: 0.021176
epoch133, t_loss: 0.010421, v_loss: 0.027425, best_epoch 52: 0.021176
epoch134, t_loss: 0.010449, v_loss: 0.025055, best_epoch 52: 0.021176
epoch135, t_loss: 0.010376, v_loss: 0.024637, best_epoch 52: 0.021176
epoch136, t_loss: 0.010381, v_loss: 0.025752, best_epoch 52: 0.021176
epoch137, t_loss: 0.010442, v_loss: 0.022705, best_epoch 52: 0.021176
epoch138, t_loss: 0.010333, v_loss: 0.026243, best_epoch 52: 0.021176
epoch139, t_loss: 0.010375, v_loss: 0.028178, best_epoch 52: 0.021176
epoch140, t_loss: 0.010306, v_loss: 0.031315, best_epoch 52: 0.021176
epoch141, t_loss: 0.010262, v_loss: 0.022269, best_epoch 52: 0.021176
epoch142, t_loss: 0.010310, v_loss: 0.022136, best_epoch 52: 0.021176
epoch143, t_loss: 0.010262, v_loss: 0.022681, best_epoch 52: 0.021176
epoch144, t_loss: 0.010188, v_loss: 0.024617, best_epoch 52: 0.021176
epoch145, t_loss: 0.010247, v_loss: 0.025829, best_epoch 52: 0.021176
epoch146, t_loss: 0.010244, v_loss: 0.022666, best_epoch 52: 0.021176
epoch147, t_loss: 0.010174, v_loss: 0.027566, best_epoch 52: 0.021176
epoch148, t_loss: 0.010121, v_loss: 0.028091, best_epoch 52: 0.021176
epoch149, t_loss: 0.010175, v_loss: 0.022952, best_epoch 52: 0.021176
